DATE,LINK,HEADLINE
"Nov 17, 2018 23:24",https://www.hindustantimes.com/india-news/bjp-leader-detained-at-sabarimala-base-camp-govt-says-precautionary-step/story-I05yo3OsKDDgj4D2zJRu1I.html,"‘Open fire if you want’, BJP leader detained at Sabarimala; party workers protest in state capital"
"Nov 17, 2018 23:57",https://www.hindustantimes.com/india-news/delhi-chief-secy-moved-to-centre-uidai-chief-becomes-new-revenue-secy/story-eHFc5gYxxGBMfB50esFHsM.html,"Delhi chief secy moved to Centre, UIDAI chief becomes new revenue secy"
"Nov 17, 2018 23:38",https://www.hindustantimes.com/india-news/varavara-rao-rearrested-by-pune-police-for-alleged-links-to-maoist-plot/story-YIpzUWyYGSRaoTUHOQgDRL.html,Varavara Rao rearrested by Pune police for alleged links to Maoist plot
"Nov 17, 2018 23:28",https://www.hindustantimes.com/india-news/19-year-old-abducted-murdered-in-south-kashmir-second-killing-in-48-hours/story-IqY7wxdPsk7sO10wIN9lOK.html,"19-year-old abducted, murdered in south Kashmir, second killing in 48 hours"
"Nov 17, 2018 23:36",https://www.hindustantimes.com/india-news/61-year-old-telangana-man-shot-dead-by-teenager-in-us/story-IgavFHFVVZFVXs7OCIXVuL.html,61-year-old Telangana man shot dead by teenager in US
"Nov 17, 2018 15:01",https://www.hindustantimes.com/world-news/legislation-introduced-in-us-congress-to-protect-work-authorisation-of-h-1b-spouses/story-kWFPOLUHKn2C36If99wHOM.html,Legislation introduced in US Congress to protect work authorisation of H-1B spouses
"Nov 17, 2018 23:57",https://www.hindustantimes.com/india-news/india-maldives-agree-to-maintain-peace-stability/story-iZJdl7omN8t0dvszKCBPiL.html,"India, Maldives agree to maintain peace, stability "
"Nov 17, 2018 23:37",https://www.hindustantimes.com/cricket/india-vs-australia-icc-women-s-wt20-live-cricket-score-harmanpreet-and-co-eye-top-spot/story-MsQ916dgrqQZmWsOaoNCtO.html,"India vs Australia, ICC Women’s WT20, Live Cricket Score: India win by 48 runs "
"Nov 16, 2018 15:34",https://www.hindustantimes.com/columns/what-will-it-take-for-political-parties-to-increase-women-s-representation-in-electoral-politics/story-u50SsL5TilYp2daiIufBtN.html,What will it take for political parties to increase women’s representation in electoral politics?
"Nov 17, 2018 09:53",https://www.hindustantimes.com/analysis/censoring-online-content-is-not-easy-any-more/story-6zp6SLBDcY99xMWApLI6mI.html,Censoring online content is not easy any more
"Nov 17, 2018 11:53",https://www.hindustantimes.com/hollywood/fantastic-beasts-the-crimes-of-grindelwald-movie-review-the-worst-film-in-the-harry-potter-series-blame-jk-rowling/story-qnwhiFNQ7PLLe4xeKiIHdO.html,Fantastic Beasts The Crimes of Grindelwald movie review: Blame JK Rowling for the worst film in the Harry Potter series
"Nov 17, 2018 11:52",https://www.hindustantimes.com/tv/narcos-mexico-review-season-4-of-terrific-netflix-show-takes-dark-knight-sacred-games-approach/story-O7JnBMRyRjcxF1AwtH2X6N.html,"Narcos Mexico review: Season 4 of terrific Netflix show takes Sacred Games, Dark Knight approach"
"Nov 17, 2018 11:51",https://www.hindustantimes.com/tv/mirzapur-review-even-pankaj-tripathi-can-t-save-amazon-s-anurag-kashyap-rip-off/story-8eJY3ct2mrUUKYZ9IL74yL.html,Mirzapur review: Even Pankaj Tripathi can’t save Amazon’s hyper-violent Anurag Kashyap rip-off
"Nov 15, 2018 19:13",https://www.hindustantimes.com/editorials/state-legislatures-must-ensure-longer-and-more-produtive-sessions/story-Kd8tDTKWcM1CIwDqyqThmM.html,State legislatures must ensure longer and more productive sessions
"Nov 15, 2018 18:38",https://www.hindustantimes.com/analysis/china-s-muscle-has-forced-india-to-rethink-its-maritime-strategy/story-CLxNoBAbvvO7qgGYF7wydN.html,China’s muscle has forced India to rethink its maritime strategy
